title,subtitle,authors,categories,published_year,average_rating,num_pages,ratings_count
"Lafcadio, the Lion Who Shot Back",,Shel Silverstein,Juvenile Fiction,1963.0,4.15,112.0,5191.0
The Secret Garden Cookbook,Recipes Inspired by Frances Hodgson Burnett's THE SECRET GARDEN,Amy Cotler,Juvenile Nonfiction,1999.0,4.28,128.0,142.0
Laura's Album,A Remembrance Scrapbook of Laura Ingalls Wilder,William Anderson,Juvenile Nonfiction,1998.0,4.3,80.0,713.0
Quivers,,Robin Quivers,African Americans in radio broadcasting,1995.0,3.51,341.0,60.0
Moonspinners,,Mary Stewart,Fiction,2003.0,4.03,400.0,5868.0
Small Wonder,Essays,Barbara Kingsolver,Literary Collections,2003.0,4.01,264.0,8738.0
Worlds Enough & Time,Five Tales of Speculative Fiction,Dan Simmons,Fiction,2002.0,3.75,272.0,923.0
The Cheese Monkeys,A Novel in Two Semesters,Chip Kidd,Fiction,2002.0,3.75,288.0,4570.0
Travels,,Michael Crichton,Biography & Autobiography,2002.0,3.95,400.0,6812.0
Caesar,A Novel,Colleen McCullough,Fiction,2003.0,4.36,928.0,5825.0
The Forever War,,Joe Haldeman,Fiction,2003.0,4.15,278.0,103375.0
Amelia Bedelia Goes Camping,,Peggy Parish,Juvenile Fiction,2003.0,4.14,64.0,2040.0
The Secret Sister,,Elizabeth Lowell,Fiction,2005.0,3.65,416.0,1164.0
Amelia Bedelia Helps Out,,Peggy Parish,Juvenile Fiction,2005.0,4.25,64.0,7678.0
Whirlpool,,Elizabeth Lowell,Fiction,2006.0,3.78,448.0,1115.0
"Teach Us, Amelia Bedelia",,Peggy Parish,Juvenile Fiction,2004.0,4.21,64.0,3069.0
Cryptonomicon,,Neal Stephenson,Fiction,2002.0,4.25,1139.0,80225.0
Falling Up,Poems and Drawings,Shel Silverstein,Juvenile Nonfiction,2002.0,4.34,178.0,114058.0
Anansi Boys,,Neil Gaiman,Fiction,2006.0,4.02,387.0,153485.0
Fragile Things,Short Fictions and Wonders,Neil Gaiman,Fiction,2006.0,4.01,360.0,43210.0
What Went Wrong?,The Clash Between Islam and Modernity in the Middle East,Bernard Lewis,History,2003.0,3.49,186.0,2409.0
Letters from the Earth,Uncensored Writings,Mark Twain,Literary Criticism,2004.0,4.22,321.0,6447.0
Savannah Blues,A Novel,Mary Kay Andrews,Fiction,2003.0,3.98,404.0,15417.0
The Whipping Boy,,Sid Fleischman,Juvenile Fiction,2003.0,3.56,90.0,19910.0
The Innovator's Dilemma,The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen,Business & Economics,2003.0,3.99,286.0,28568.0
A Nose for Murder,,Lee Charles Kelley,Fiction,2003.0,3.47,267.0,93.0
Happiness,A Novel,Will Ferguson,Fiction,2003.0,3.78,320.0,2191.0
Size 12 Is Not Fat,A Heather Wells Mystery,Meg Cabot,Fiction,2006.0,3.74,345.0,73592.0
Warrior of the Light,A Manual,Paulo Coelho,Fiction,2004.0,3.7,142.0,21578.0
The Devil and Miss Prym,A Novel of Temptation,Paulo Coelho,Fiction,2006.0,3.6,205.0,46113.0
The Big Bing,"Black Holes of Time Management, Gaseous Executive Bodies, Exploding Careers, and Other Theories on the Origins of the Business Universe",Stanley Bing,Business & Economics,2006.0,3.08,368.0,26.0
One Hundred Years of Solitude,,Gabriel Garcia Marquez,Fiction,2003.0,4.06,417.0,547207.0
Walt Whitman,A Life,Justin Kaplan,Biography & Autobiography,2003.0,3.99,464.0,210.0
How to Make Love Like a Porn Star,A Cautionary Tale,Jenna Jameson;Neil Strauss,Biography & Autobiography,2004.0,3.75,592.0,10211.0
